miesiac	dzien	stan wody	przeplyw
1	1	121	33.2
1	2	121	33.2
1	3	120	32
1	4	118	30.2
1	5	116	28.4
1	6	116	28.4
1	7	115	27.5
1	8	114	26.6
1	9	114	26.6
1	10	113	25.7
1	11	112	24.8
1	12	111	23.9
1	13	110	23
1	14	109	22.2
1	15	108	21
1	16	110	23
1	17	110	23
1	18	110	23
1	19	110	23
1	20	110	23
1	21	111	23.9
1	22	112	24.8
1	23	113	25.7
1	24	119	31.1
1	25	130	44
1	26	129	42.8
1	27	125	38
1	28	127	40.4
1	29	119	31.1
1	30	119	31.1
2	1	117	29.3
2	2	115	27.5
2	3	113	25.7
2	4	109	22.2
2	5	111	23.9
2	6	109	22.2
2	7	106	20
2	8	105	19.2
2	9	109	19
2	10	111	18
2	11	117	17
2	12	120	16.5
2	13	115	16
2	14	108	15.5
2	15	99	15
2	16	100	15.2
2	17	100	15.4
2	18	114	16
2	19	118	17
2	20	119	19
2	21	116	18
2	22	114	17.5
2	23	112	17
2	24	110	16.8
2	25	108	16.6
2	26	107	16.4
2	27	104	16
2	28	101	15.8
2	29	101	15.6
2	30	100	15.4
2	31	101	15.2
3	1	100	15
3	2	100	14
3	3	100	13.2
3	4	98	13
3	5	103	13.1
3	6	113	13.1
3	7	133	13.2
3	8	133	13.2
3	9	133	13.2
3	10	133	13.3
3	11	134	13.3
3	12	135	13.3
3	13	134	13.4
3	14	134	13.4
3	15	133	13.4
3	16	131	13.6
3	17	132	13.6
3	18	133	13.8
3	19	132	13.8
3	20	129	13.8
3	21	129	14
3	22	129	14
3	23	129	14.2
3	24	129	14.2
3	25	128	14.4
3	26	128	14.4
3	27	132	14.8
3	28	129	14.6
3	29	127	14.4
3	30	126	14.2
3	31	125	14
4	1	128	14.5
4	2	150	16
4	3	154	17
4	4	150	16.8
4	5	147	16
4	6	142	16.4
4	7	139	16.2
4	8	135	16
4	9	136	15.8
4	10	135	15.6
4	11	134	15.4
4	12	132	15.2
4	13	131	15
4	14	130	14.8
4	15	130	14.6
4	16	129	14.4
4	17	129	14.2
4	18	129	14
4	19	129	13.8
4	20	129	13.8
4	21	130	13.6
4	22	131	13.6
4	23	132	13.4
4	24	133	13.4
4	25	133	13.2
4	26	133	13.2
4	27	133	13.2
4	28	134	13.5
5	1	134	13.5
5	2	134	13.5
5	3	136	14
5	4	141	16
5	5	149	19
5	6	167	30
5	7	174	50
5	8	170	48
5	9	158	46
5	10	140	42
5	11	128	40
5	12	122	34.4
5	13	120	32
5	14	127	40.4
5	15	142	61.1
5	16	144	64.2
5	17	142	61.1
5	18	142	61.1
5	19	153	78.8
5	20	151	75.2
5	21	164	99
5	22	198	193
5	23	210	240
5	24	202	208
5	25	192	172
5	26	194	179
5	27	195	182
5	28	208	232
5	29	180	135
5	30	167	105
5	31	174	121
6	1	193	176
6	2	211	244
